# iter num_samples num_i pi relative_err time_accum
1 103680000000 81430828246 3.141621 9.1694e-06 1726.6
1 104640000000 82184816444 3.141621 9.15781e-06 1742.96
1 105600000000 82938808774 3.141622 9.19626e-06 1759.14
1 106560000000 83692802612 3.141622 9.25202e-06 1775.09
1 107520000000 84446801281 3.141622 9.364e-06 1790.78
1 108480000000 85200800402 3.141622 9.47931e-06 1805.58
1 109440000000 85954799500 3.141623 9.59232e-06 1821.24
1 110400000000 86708795851 3.141623 9.67169e-06 1836.93
1 111360000000 87462792145 3.141623 9.74903e-06 1852.91
1 112320000000 88216786545 3.141623 9.80359e-06 1868.9
1 113280000000 88970782025 3.141624 9.86936e-06 1884.93
1 114240000000 89724776558 3.141624 9.92346e-06 1900.76
1 115200000000 90478776145 3.141624 1.00325e-05 1916.53
1 116160000000 91232777554 3.141625 1.01598e-05 1932.56
1 117120000000 91986777302 3.141625 1.02669e-05 1948.54
1 118080000000 92740768392 3.141625 1.02788e-05 1964.22
1 119040000000 93494753159 3.141625 1.0223e-05 1979.98
1 120000000000 94248740170 3.141625 1.01919e-05 1995.97
1 120960000000 95002723468 3.141624 1.01222e-05 2011.93
1 121920000000 95756706298 3.141624 1.00487e-05 2028.13
1 122880000000 96510682808 3.141624 9.91081e-06 2044.34
1 123840000000 97264660072 3.141623 9.78286e-06 2060.07
1 124800000000 98018643131 3.141623 9.71599e-06 2076.02
1 125760000000 98772626186 3.141623 9.65011e-06 2091.74
1 126720000000 99526608121 3.141623 9.57397e-06 2107.81
1 127680000000 100280586075 3.141622 9.45928e-06 2123.53
1 128640000000 101034565989 3.141622 9.36569e-06 2139.58
1 129600000000 101788540422 3.141622 9.21965e-06 2155.7
1 130560000000 102542506897 3.141621 8.99815e-06 2171.45
1 131520000000 103296473946 3.141620 8.78543e-06 2188
1 132480000000 104050441208 3.141620 8.57785e-06 2204.05
1 133440000000 104804404872 3.141619 8.33892e-06 2219.73
1 134400000000 105558370291 3.141618 8.12004e-06 2235.64
1 135360000000 106312337112 3.141618 7.91744e-06 2251.32
1 136320000000 107066304632 3.141617 7.72423e-06 2267.32
1 137280000000 107820277367 3.141616 7.58208e-06 2283
1 138240000000 108574252500 3.141616 7.464e-06 2299.09
1 139200000000 109328225312 3.141616 7.32632e-06 2315.17
1 140160000000 110082202386 3.141615 7.22924e-06 2331.33
1 141120000000 110836180262 3.141615 7.14071e-06 2347.46
1 142080000000 111590162111 3.141615 7.08899e-06 2363.18
1 143040000000 112344146604 3.141615 7.06149e-06 2379.37
1 144000000000 113098135029 3.141615 7.06913e-06 2395.41
1 144960000000 113852124327 3.141615 7.08434e-06 2411.15
1 145920000000 114606113450 3.141615 7.09782e-06 2427.27
1 146880000000 115360102103 3.141615 7.10704e-06 2443.32
1 147840000000 116114086871 3.141615 7.08269e-06 2459.07
1 148800000000 116868071639 3.141615 7.05866e-06 2475.14
1 149760000000 117622052228 3.141615 6.9994e-06 2491.13
1 150720000000 118376028295 3.141614 6.9027e-06 2506.86
1 151680000000 119130004702 3.141614 6.81007e-06 2523.04
1 152640000000 119883975162 3.141614 6.669e-06 2538.74
1 153600000000 120637947295 3.141613 6.54357e-06 2554.69
1 154560000000 121391919707 3.141613 6.42199e-06 2570.68
1 155520000000 122145891954 3.141612 6.30056e-06 2586.78
1 156480000000 122899867834 3.141612 6.21018e-06 2602.8
1 157440000000 123653844876 3.141612 6.1303e-06 2618.86
1 158400000000 124407834240 3.141612 6.15044e-06 2634.96
1 159360000000 125161821583 3.141612 6.15419e-06 2650.95
1 160320000000 125915801703 3.141612 6.10052e-06 2666.66
1 161280000000 126669784862 3.141612 6.07149e-06 2683.44
1 162240000000 127423767134 3.141612 6.03584e-06 2699.6
1 163200000000 128177749440 3.141612 6.00087e-06 2715.28
1 164160000000 128931732253 3.141611 5.97025e-06 2731.64
1 165120000000 129685706250 3.141611 5.872e-06 2748.01
1 166080000000 130439672505 3.141611 5.71554e-06 2764.03
1 167040000000 131193636916 3.141610 5.54681e-06 2779.86
1 168000000000 131947598223 3.141609 5.35649e-06 2795.55
1 168960000000 132701563154 3.141609 5.19565e-06 2811.5
1 169920000000 133455533968 3.141609 5.0807e-06 2828.51
1 170880000000 134209502122 3.141608 4.94722e-06 2844.22
